EmployeeID,FullName,Age,Gender,Department,Designation,EducationQualification,MonthlySalary,DateOfJoining,YearsWithCompany,YearsInRole,AppraisalRating,TrainingHours,DoesOvertime,JobSatisfaction,WorkLifeBalance,MaritalStatus,PreviousCompanies,DistanceFromHome,LeavesTaken,City,LeftCompany
EMP20230012,Jhanvi Butala,57,Female,Accounts,Software Engineer,BA,108728,6/19/2021,4,0,2,1,No,5,3,Single,3,18.9,23,Pune,No
EMP20230013,Vidur Choudhury,24,Other,HR,Software Engineer,M.Com,43656,12/10/2020,5,1,1,29,No,4,4,Divorced,5,35.2,21,Mumbai,No
EMP20230014,Alisha Mandal,22,Other,IT,Office Assistant,M.Com,87000,2/24/2017,8,4,4,55,Yes,5,3,Married,3,4.9,23,Kolkata,No
EMP20230015,Khushi Dayal,33,Other,HR,Software Engineer,Diploma,103459,5/3/2022,3,3,5,0,No,5,4,Divorced,2,25.6,28,Kolkata,No
EMP20230016,Jivin Sankar,36,Male,IT,Office Assistant,Diploma,110079,1/11/2016,9,2,3,17,No,4,2,Married,2,37.7,14,Hyderabad,Yes
EMP20230017,Shaan Baria,31,Male,Sales,Sales Associate,B.Tech,49920,5/31/2024,1,0,1,37,Yes,1,3,Married,0,10.9,12,Mumbai,No
EMP20230018,Aarav Chandran,28,Female,Admin,HR Executive,B.Tech,101350,9/21/2021,4,4,5,32,Yes,1,4,Divorced,3,39.6,14,Pune,No
EMP20230019,Sahil Kala,44,Male,HR,Software Engineer,M.Com,29965,8/16/2016,9,7,5,0,Yes,2,3,Married,0,48.4,9,Pune,Yes
EMP20230020,Jayesh Verma,24,Other,Admin,HR Executive,MBA,118228,1/11/2016,9,2,1,55,Yes,3,2,Single,4,35.6,17,Mumbai,Yes
EMP20230021,Aayush Chanda,55,Male,Accounts,Software Engineer,BA,44677,11/17/2020,5,3,5,18,Yes,2,4,Married,0,31.9,29,Delhi,No
EMP20230022,Vedika Konda,49,Female,IT,HR Executive,B.Tech,17841,9/11/2016,9,1,5,41,Yes,2,2,Married,1,2.5,18,Delhi,Yes
EMP20230023,Zaina Wable,47,Other,Admin,Sales Associate,BA,82546,7/5/2016,9,2,1,20,No,5,2,Married,5,5.7,18,Pune,No
EMP20230024,Aarush Kade,30,Male,Accounts,Software Engineer,Diploma,45458,6/13/2018,7,3,3,47,No,1,4,Divorced,1,5.3,0,Bengaluru,No
EMP20230025,Nishith Bajaj,54,Other,IT,Office Assistant,MBA,44102,12/3/2019,6,1,1,46,No,5,4,Single,5,34,12,Pune,Yes
EMP20230026,Nayantara Divan,30,Other,Accounts,Sales Associate,Diploma,88874,8/13/2021,4,2,5,36,No,4,3,Divorced,0,31,27,Chennai,No
EMP20230027,Nitya Kari,40,Female,Admin,Software Engineer,Diploma,69284,1/21/2019,6,1,2,41,Yes,4,2,Single,2,40.6,19,Mumbai,No
EMP20230028,Azad Sani,42,Female,Sales,Sales Associate,M.Com,59794,12/8/2022,3,1,1,51,Yes,1,4,Divorced,5,42.9,8,Pune,Yes
EMP20230029,Vritika Hari,30,Other,IT,HR Executive,MBA,46518,11/28/2018,7,2,1,6,Yes,2,4,Divorced,3,13.8,26,Chennai,Yes
EMP20230030,Adah Seth,38,Male,HR,HR Executive,BA,69776,1/22/2024,1,1,2,21,Yes,5,4,Single,5,27.6,8,Chennai,Yes
EMP20230031,Eshani Dhawan,40,Female,IT,Office Assistant,B.Tech,74264,3/10/2023,2,0,1,15,Yes,3,2,Divorced,2,29.8,7,Pune,Yes
EMP20230032,Kimaya Boase,45,Male,Accounts,HR Executive,B.Tech,118567,12/14/2023,2,0,2,29,No,1,2,Married,5,39.9,15,Mumbai,Yes
EMP20230033,Anahi Bobal,47,Other,HR,Sales Associate,BA,53272,10/27/2015,10,4,4,0,Yes,5,2,Divorced,1,5.6,14,Bengaluru,No
EMP20230034,Dhanuk Dara,37,Male,Sales,Accounts Officer,BA,100355,1/22/2017,8,3,4,19,No,1,4,Divorced,2,11.1,7,Chennai,No
EMP20230035,Ritvik Mani,55,Other,Accounts,HR Executive,M.Com,110817,9/12/2022,3,1,1,28,No,2,3,Married,5,10.3,27,Kolkata,Yes
EMP20230036,Elakshi Vala,27,Other,IT,HR Executive,BA,96802,5/26/2018,7,5,2,19,No,3,1,Divorced,5,29.9,9,Pune,No
EMP20230037,Yasmin Ganguly,48,Male,Admin,Software Engineer,M.Com,90583,1/30/2018,7,7,5,20,No,5,3,Single,5,48.9,29,Pune,No
EMP20230038,Jiya Doctor,49,Male,IT,Office Assistant,B.Tech,43221,6/22/2023,2,1,2,43,Yes,4,1,Married,2,41.2,17,Bengaluru,Yes
EMP20230039,Jhanvi Bail,39,Male,Admin,Software Engineer,BA,27669,5/29/2023,2,2,4,12,Yes,5,1,Divorced,4,19.5,22,Bengaluru,Yes
EMP20230040,Ivan Chawla,24,Female,Accounts,Accounts Officer,Diploma,29084,6/4/2016,9,3,3,24,No,1,1,Single,3,8.8,22,Chennai,No
EMP20230041,Sara Dayal,57,Male,IT,Sales Associate,MBA,99377,6/5/2024,1,0,5,22,Yes,5,2,Divorced,2,23.9,4,Hyderabad,No
EMP20230042,Shray Krish,31,Male,Accounts,Office Assistant,MBA,71648,6/3/2021,4,1,3,2,Yes,2,2,Divorced,5,2.6,2,Bengaluru,Yes
EMP20230043,Oorja Sanghvi,59,Male,Admin,Accounts Officer,M.Com,69962,2/22/2019,6,3,2,33,Yes,3,4,Married,1,27.6,23,Pune,No
EMP20230044,Ayesha Deol,41,Other,Admin,HR Executive,B.Tech,102474,10/2/2023,2,1,2,22,Yes,5,2,Divorced,5,49.6,5,Chennai,No
EMP20230045,Yashvi Brar,23,Other,Accounts,Software Engineer,Diploma,72921,4/17/2019,6,4,2,53,Yes,3,4,Divorced,4,45.7,19,Bengaluru,No
EMP20230046,Jiya Das,35,Male,Sales,Sales Associate,MBA,113899,4/25/2020,5,4,2,45,No,1,1,Divorced,2,4.5,27,Hyderabad,Yes
EMP20230047,Nishith Rout,51,Male,Sales,Accounts Officer,B.Tech,72381,3/17/2022,3,2,2,26,Yes,3,2,Married,3,38.6,26,Pune,No
EMP20230048,Jiya Randhawa,52,Male,Admin,Accounts Officer,Diploma,38942,7/21/2022,3,1,3,32,Yes,4,2,Single,3,47.5,30,Bengaluru,Yes
EMP20230049,Advik Gade,37,Male,Accounts,Accounts Officer,B.Tech,112705,10/22/2018,7,7,2,5,No,2,4,Divorced,2,10.7,0,Delhi,Yes
EMP20230050,Jayant Dugal,25,Female,Sales,Sales Associate,M.Com,47957,12/10/2022,3,1,5,46,Yes,3,4,Divorced,1,27,28,Pune,No
EMP20230051,Gokul Raval,44,Male,Accounts,Sales Associate,Diploma,23895,10/11/2021,4,4,4,11,Yes,1,4,Single,1,24.4,23,Hyderabad,No
EMP20230052,Jayant Anne,60,Other,Accounts,Accounts Officer,MBA,96542,6/24/2020,5,2,5,45,No,1,4,Married,4,49,16,Hyderabad,No
EMP20230053,Anahi Srivastava,48,Female,HR,HR Executive,B.Tech,87183,5/20/2018,7,4,2,37,Yes,2,2,Single,5,12.6,5,Pune,Yes
EMP20230054,Hrishita Mangat,28,Other,Sales,Office Assistant,M.Com,118049,11/22/2021,4,1,1,49,No,5,1,Divorced,2,38,4,Hyderabad,No
EMP20230055,Ayesha Ganesh,22,Male,Accounts,HR Executive,M.Com,56821,8/24/2015,10,5,2,6,Yes,1,4,Divorced,5,22,4,Chennai,Yes
EMP20230056,Chirag Chandran,41,Other,Sales,Sales Associate,M.Com,51852,11/1/2017,8,1,5,57,No,5,3,Divorced,3,16.7,28,Delhi,No
EMP20230057,Mehul Sura,32,Other,Accounts,Accounts Officer,B.Tech,15461,9/25/2021,4,0,3,40,No,5,1,Divorced,2,23.4,6,Bengaluru,No
EMP20230058,Gokul Samra,28,Other,Admin,Accounts Officer,Diploma,44878,6/8/2019,6,0,3,33,No,2,2,Single,0,9.7,20,Hyderabad,No
EMP20230059,Kanav Tata,48,Female,HR,Accounts Officer,MBA,116173,6/3/2019,6,2,2,58,No,2,1,Married,1,11.8,15,Kolkata,Yes
EMP20230060,Shray Zachariah,30,Other,Sales,Office Assistant,Diploma,94139,12/30/2016,9,0,1,50,Yes,3,2,Married,3,30,10,Delhi,Yes
EMP20230061,Nishith Mangal,60,Male,Accounts,Sales Associate,M.Com,106402,1/31/2018,7,3,4,47,Yes,2,2,Married,2,3,5,Chennai,No
EMP20230062,Anya Hayer,42,Female,Sales,Sales Associate,BA,97585,4/4/2021,4,3,2,36,No,3,2,Married,5,48.1,10,Chennai,No
EMP20230063,Shalv Ram,29,Male,IT,Accounts Officer,Diploma,49640,12/4/2018,7,7,1,26,No,1,3,Divorced,2,38.3,13,Bengaluru,Yes
EMP20230064,Advik Kadakia,29,Other,HR,Office Assistant,BA,97015,3/23/2024,1,1,4,54,No,1,1,Divorced,1,12.1,29,Kolkata,No
EMP20230065,Aaina Khanna,40,Female,HR,Sales Associate,M.Com,22154,1/3/2019,6,1,3,13,Yes,2,4,Married,1,29.8,15,Delhi,No
EMP20230066,Tanya Maharaj,29,Other,IT,Software Engineer,Diploma,21153,6/18/2019,6,4,1,41,Yes,5,1,Single,4,12.1,25,Chennai,Yes
EMP20230067,Yuvraj  Butala,29,Other,IT,HR Executive,B.Tech,19506,2/2/2023,2,0,1,51,No,3,2,Divorced,5,35.9,10,Pune,Yes
EMP20230068,Aradhya Dar,53,Other,Accounts,Office Assistant,B.Tech,116642,10/18/2015,10,0,2,14,Yes,1,1,Divorced,5,40.3,10,Hyderabad,Yes
EMP20230069,Lagan Hayre,32,Other,Admin,Software Engineer,M.Com,46403,5/22/2016,9,5,2,43,No,4,1,Divorced,5,46.5,3,Hyderabad,No
EMP20230070,Parinaaz Shetty,43,Female,Admin,HR Executive,MBA,67006,10/9/2023,2,0,4,56,Yes,1,4,Divorced,2,32.6,25,Mumbai,No
EMP20230071,Eshani Sinha,43,Female,Accounts,Sales Associate,B.Tech,21208,8/5/2016,9,3,4,35,No,5,1,Married,5,41.3,0,Kolkata,No
EMP20230072,Arnav Rastogi,25,Other,HR,Office Assistant,MBA,108228,7/24/2015,10,1,3,19,No,2,3,Married,2,10.9,15,Pune,No
EMP20230073,Nayantara Chacko,45,Other,IT,Sales Associate,Diploma,86816,11/29/2019,6,6,4,47,Yes,1,1,Single,4,33.9,14,Chennai,Yes
EMP20230074,Ivan Dara,27,Female,Sales,Sales Associate,BA,65026,10/9/2016,9,2,3,37,No,3,1,Divorced,1,34.9,23,Chennai,No
EMP20230075,Jayan Kulkarni,28,Female,Sales,Accounts Officer,MBA,119184,7/14/2021,4,4,5,20,Yes,5,1,Divorced,1,11.7,3,Bengaluru,Yes
EMP20230076,Ryan Kota,48,Other,Sales,Accounts Officer,MBA,21381,3/21/2018,7,0,3,11,No,4,4,Married,2,10.1,28,Pune,Yes
EMP20230077,Divij Rajagopal,43,Male,HR,Software Engineer,M.Com,68137,7/16/2016,9,2,2,13,Yes,1,3,Single,2,2.5,28,Delhi,Yes
EMP20230078,Kashvi Sankar,43,Female,Sales,Office Assistant,BA,40521,1/23/2017,8,5,1,45,No,5,3,Single,2,18.5,4,Pune,No
EMP20230079,Adah Andra,40,Male,Admin,Accounts Officer,M.Com,74500,9/18/2021,4,3,5,33,Yes,4,1,Married,2,48.4,29,Pune,Yes
EMP20230080,Amira Chatterjee,57,Female,HR,Sales Associate,MBA,112977,10/30/2016,9,0,2,10,Yes,2,3,Divorced,3,22.5,19,Kolkata,No
EMP20230081,Advika Shroff,55,Other,IT,Software Engineer,M.Com,91334,9/19/2023,2,0,5,6,Yes,5,2,Single,1,1.8,2,Hyderabad,No
EMP20230082,Sumer Rao,50,Other,HR,HR Executive,B.Tech,71871,5/11/2024,1,1,2,28,Yes,2,1,Divorced,1,27.4,29,Chennai,No
EMP20230083,Jivika Sarma,38,Male,Admin,HR Executive,M.Com,48713,3/13/2017,8,8,4,23,Yes,1,1,Divorced,0,2.7,28,Bengaluru,Yes
EMP20230084,Madhav Toor,25,Female,HR,Software Engineer,Diploma,49220,8/11/2020,5,1,4,4,No,4,4,Single,5,26.6,13,Bengaluru,Yes
EMP20230085,Nehmat Sharma,34,Male,Accounts,HR Executive,MBA,37480,4/2/2019,6,0,4,0,Yes,3,1,Married,4,21.3,28,Hyderabad,Yes
EMP20230086,Anya Krishnamurthy,42,Male,Admin,Sales Associate,BA,23412,2/23/2023,2,0,2,22,No,1,4,Single,0,22.5,25,Bengaluru,Yes
EMP20230087,Seher Handa,23,Female,HR,Software Engineer,B.Tech,25300,9/17/2019,6,1,5,43,Yes,3,4,Single,2,13.9,24,Bengaluru,Yes
EMP20230088,Dharmajan Malhotra,54,Other,Admin,Sales Associate,BA,118084,11/29/2021,4,4,1,52,No,4,3,Single,3,19.2,24,Bengaluru,No
EMP20230089,Charvi Goda,50,Male,Admin,HR Executive,M.Com,114383,8/24/2023,2,2,5,59,Yes,4,1,Single,2,8.8,28,Bengaluru,Yes
EMP20230090,Bhavin Bumb,29,Female,Accounts,Accounts Officer,M.Com,29970,11/17/2021,4,2,3,18,Yes,4,1,Divorced,3,42.2,15,Hyderabad,Yes
EMP20230091,Mamooty Thaker,24,Male,Accounts,Sales Associate,B.Tech,83004,4/12/2020,5,5,1,56,No,5,1,Single,3,25.5,4,Chennai,Yes
EMP20230092,Divij Setty,23,Other,Sales,Accounts Officer,M.Com,99455,1/25/2017,8,5,1,1,No,2,3,Divorced,0,32.8,6,Delhi,Yes
EMP20230093,Arnav Warrior,44,Male,HR,HR Executive,MBA,39400,7/30/2018,7,5,3,60,Yes,4,1,Single,3,4,22,Kolkata,Yes
EMP20230094,Jivika Hari,53,Male,Accounts,Office Assistant,MBA,99322,11/20/2020,5,5,1,30,Yes,4,2,Divorced,4,30.2,6,Mumbai,Yes
EMP20230095,Hrishita Banik,40,Female,HR,Office Assistant,M.Com,95160,10/24/2023,2,0,5,14,Yes,5,4,Single,1,42.1,6,Mumbai,No
EMP20230096,Amira Kalita,53,Female,IT,HR Executive,MBA,91711,3/14/2020,5,4,3,49,No,3,3,Single,0,22.4,5,Kolkata,No
EMP20230097,Dhruv Sheth,45,Male,IT,Accounts Officer,BA,26387,12/28/2018,7,2,2,19,Yes,1,3,Single,3,1.1,24,Bengaluru,Yes
EMP20230098,Yuvraj  Devan,45,Other,Admin,Software Engineer,B.Tech,15283,5/20/2024,1,1,3,46,Yes,5,3,Divorced,1,25.1,12,Kolkata,No
EMP20230099,Dishani Sachdeva,43,Male,Admin,HR Executive,Diploma,99399,2/12/2023,2,0,2,26,No,1,3,Married,1,10.7,27,Delhi,Yes
EMP20230100,Yuvaan Dhaliwal,39,Female,HR,Sales Associate,BA,66269,12/3/2019,6,4,2,24,Yes,2,2,Single,2,35.4,21,Bengaluru,Yes
EMP20230101,Heer Korpal,26,Male,Admin,Sales Associate,MBA,24680,5/27/2021,4,1,2,5,No,1,4,Single,4,5.2,16,Delhi,Yes
EMP20230102,Lavanya Iyengar,23,Other,Sales,Accounts Officer,BA,34362,9/30/2023,2,1,2,50,Yes,4,2,Married,4,4.7,5,Delhi,No
EMP20230103,Samar Khatri,59,Female,Accounts,Software Engineer,BA,28751,4/18/2020,5,5,1,35,Yes,2,2,Single,3,7.3,19,Bengaluru,Yes
EMP20230104,Renee Sundaram,59,Male,Sales,Accounts Officer,M.Com,67080,3/19/2024,1,0,2,17,Yes,1,4,Married,1,46.6,16,Mumbai,Yes
EMP20230105,Yakshit Rege,33,Female,HR,Sales Associate,MBA,119203,1/15/2018,7,3,3,54,Yes,1,3,Single,5,36.5,14,Hyderabad,No
EMP20230106,Bhavin Rau,38,Female,HR,Sales Associate,MBA,104862,4/6/2016,9,7,5,44,Yes,3,4,Single,5,10.6,7,Kolkata,No
EMP20230107,Arnav Chaudry,54,Female,Admin,Software Engineer,BA,115498,5/13/2021,4,4,5,17,No,4,4,Single,2,42.5,13,Bengaluru,No
EMP20230108,Armaan Sule,49,Female,HR,Office Assistant,BA,63601,3/31/2022,3,3,3,55,Yes,2,4,Single,3,33.6,26,Chennai,No
EMP20230109,Kaira Thaker,24,Male,IT,Accounts Officer,BA,91036,7/29/2022,3,1,3,19,No,4,2,Married,2,19.6,7,Chennai,No
EMP20230110,Hrishita Hayre,56,Male,HR,Software Engineer,M.Com,29193,9/22/2019,6,5,1,43,Yes,5,4,Married,5,5.5,24,Mumbai,Yes
EMP20230111,Adah Gandhi,48,Male,HR,Sales Associate,BA,93859,11/27/2016,9,8,2,4,No,1,2,Single,4,43.6,15,Hyderabad,Yes
EMP20230112,Urvi Zacharia,43,Other,HR,Accounts Officer,B.Tech,49062,4/19/2022,3,2,2,35,No,4,4,Married,1,9.4,12,Kolkata,No
EMP20230113,Tushar Goyal,37,Female,HR,Office Assistant,MBA,66858,2/27/2018,7,7,1,58,No,3,3,Divorced,3,14.6,23,Chennai,No
EMP20230114,Rohan Arora,36,Male,IT,Accounts Officer,B.Tech,88041,5/6/2022,3,1,2,43,Yes,3,1,Divorced,2,31.7,23,Pune,Yes
EMP20230115,Purab Ahuja,50,Male,Accounts,Software Engineer,MBA,48325,1/3/2023,2,1,4,13,Yes,3,4,Divorced,4,16.7,6,Mumbai,No
EMP20230116,Alisha Bhatia,56,Female,Sales,Accounts Officer,B.Tech,96534,3/20/2019,6,4,2,54,Yes,1,1,Married,1,15.3,30,Kolkata,Yes
EMP20230117,Hridaan Lal,54,Female,Sales,HR Executive,B.Tech,61770,3/11/2022,3,0,3,15,No,2,4,Single,1,15.7,27,Chennai,No
EMP20230118,Ojas Suresh,32,Male,Accounts,Sales Associate,M.Com,65558,12/1/2017,8,3,4,3,No,4,3,Divorced,3,48.7,14,Kolkata,No
EMP20230119,Divij Chad,31,Male,Accounts,HR Executive,BA,54715,8/17/2022,3,1,2,28,Yes,4,2,Married,1,3.4,18,Chennai,No
EMP20230120,Dhanush Bajaj,44,Male,Admin,Office Assistant,B.Tech,70462,8/2/2017,8,7,5,27,No,5,1,Married,2,39.2,25,Pune,Yes
EMP20230121,Amira Sant,33,Other,HR,Software Engineer,B.Tech,44695,7/22/2022,3,2,4,51,Yes,1,1,Married,5,35,19,Hyderabad,No
EMP20230122,Krish Bali,28,Male,IT,Accounts Officer,MBA,32696,5/21/2017,8,3,4,5,Yes,5,2,Divorced,0,8.3,9,Delhi,No
EMP20230123,Jayesh Rajagopalan,46,Other,HR,Software Engineer,B.Tech,107336,5/26/2022,3,1,5,50,Yes,4,4,Married,4,31.8,0,Delhi,No
EMP20230124,Alisha Dhingra,24,Male,Sales,Accounts Officer,BA,66929,9/11/2022,3,2,3,55,Yes,1,3,Single,1,24.3,4,Kolkata,Yes
EMP20230125,Dhanuk Goel,24,Other,IT,HR Executive,B.Tech,89485,5/27/2016,9,5,4,38,No,1,1,Married,0,44.8,5,Bengaluru,No
EMP20230126,Mehul Kumer,36,Other,Admin,Accounts Officer,MBA,49372,2/15/2019,6,0,3,29,No,4,1,Married,2,38.7,15,Bengaluru,No
EMP20230127,Yasmin Hans,38,Female,Admin,Office Assistant,Diploma,70690,7/14/2019,6,1,4,56,No,2,3,Married,1,41.6,20,Pune,No
EMP20230128,Miraan Tak,28,Male,Admin,Office Assistant,Diploma,82476,4/23/2018,7,1,1,36,Yes,4,4,Divorced,0,27.4,1,Delhi,Yes
EMP20230129,Hridaan Bora,47,Male,IT,HR Executive,M.Com,27353,6/29/2016,9,6,4,22,No,4,2,Married,2,47.2,29,Mumbai,No
EMP20230130,Drishya Sen,23,Female,Sales,HR Executive,BA,38247,4/27/2019,6,0,5,3,Yes,1,1,Single,5,15.4,9,Kolkata,Yes
EMP20230131,Inaaya  Ray,60,Male,IT,Office Assistant,MBA,99967,9/5/2017,8,3,5,42,Yes,4,2,Single,1,5.5,2,Delhi,No
EMP20230132,Zain Loyal,52,Other,Admin,Accounts Officer,B.Tech,21175,5/12/2017,8,6,2,18,No,5,3,Single,2,33.9,21,Pune,No
EMP20230133,Eshani Vaidya,26,Other,IT,Office Assistant,BA,20043,2/3/2021,4,2,2,23,Yes,5,1,Single,1,7.8,5,Delhi,Yes
EMP20230134,Samarth Chaudhry,47,Male,Admin,Sales Associate,M.Com,53572,10/21/2016,9,5,5,54,Yes,4,2,Single,1,38.4,13,Pune,No
EMP20230135,Badal Dey,48,Other,Admin,Sales Associate,Diploma,104331,9/11/2015,10,8,2,54,No,4,4,Single,5,26.5,21,Chennai,Yes
EMP20230136,Ojas Warrior,26,Other,IT,Office Assistant,B.Tech,34392,2/29/2024,1,1,2,0,Yes,2,1,Married,5,27.4,19,Mumbai,No
EMP20230137,Umang Kibe,60,Female,Sales,Sales Associate,BA,65459,2/27/2019,6,3,4,8,Yes,1,2,Single,2,24.1,30,Chennai,No
EMP20230138,Shaan Konda,46,Other,Admin,Sales Associate,M.Com,41102,7/29/2016,9,5,3,10,Yes,5,4,Single,0,14.6,14,Chennai,Yes
EMP20230139,Dharmajan Basu,26,Other,IT,Accounts Officer,BA,30811,11/28/2022,3,0,2,53,No,4,3,Divorced,3,46.4,10,Delhi,Yes
EMP20230140,Kaira Wagle,57,Female,HR,Sales Associate,MBA,38201,3/8/2016,9,4,2,0,No,3,1,Divorced,3,9.1,17,Chennai,No
EMP20230141,Oorja Walla,36,Male,Sales,Software Engineer,MBA,30790,6/2/2019,6,2,1,43,No,2,1,Divorced,1,37.1,28,Pune,Yes
EMP20230142,Ahana  Sanghvi,26,Female,Admin,Accounts Officer,B.Tech,98984,10/6/2020,5,2,4,54,No,3,2,Single,2,19.8,12,Chennai,No
EMP20230143,Fateh Sehgal,29,Male,Sales,HR Executive,BA,49558,7/31/2021,4,3,1,30,Yes,3,4,Divorced,5,25,4,Mumbai,Yes
EMP20230144,Diya Jayaraman,46,Male,HR,Accounts Officer,BA,34551,3/19/2020,5,2,1,17,Yes,5,4,Married,4,24.2,22,Delhi,No
EMP20230145,Dishani Verma,51,Female,Accounts,Sales Associate,BA,39510,5/30/2024,1,0,1,33,Yes,4,4,Single,3,4.7,1,Mumbai,No
EMP20230146,Jiya Dutt,51,Other,IT,Accounts Officer,B.Tech,64789,11/6/2016,9,0,5,44,No,5,4,Single,3,44.2,15,Mumbai,No
EMP20230147,Dhanuk Kohli,31,Other,Sales,HR Executive,B.Tech,98512,9/25/2016,9,8,2,29,No,4,3,Single,0,20.7,28,Bengaluru,No
EMP20230148,Renee Rajan,26,Male,Sales,Accounts Officer,MBA,90698,9/27/2022,3,1,4,8,Yes,3,4,Single,0,2.8,22,Pune,No
EMP20230149,Khushi Madan,50,Other,HR,Software Engineer,M.Com,51051,12/9/2015,10,2,4,51,Yes,1,3,Married,1,38.5,5,Delhi,No
EMP20230150,Aarush Walla,31,Other,IT,Accounts Officer,MBA,84633,3/30/2021,4,1,1,40,No,2,3,Single,4,31.5,14,Mumbai,No
EMP20230151,Ishaan Raval,48,Female,Sales,Software Engineer,MBA,63387,2/26/2017,8,3,2,10,Yes,4,3,Single,2,4.1,27,Pune,Yes
EMP20230152,Ayesha Bhatti,35,Male,IT,Office Assistant,BA,79825,10/10/2016,9,9,5,34,Yes,4,1,Married,0,23.3,20,Pune,Yes
EMP20230153,Veer Chaudhary,60,Male,Accounts,HR Executive,B.Tech,89220,3/5/2024,1,0,4,28,No,4,1,Divorced,0,10.7,12,Chennai,No
EMP20230154,Renee Agarwal,48,Female,Admin,Accounts Officer,BA,77734,10/28/2020,5,5,3,54,Yes,5,1,Divorced,4,22.6,9,Hyderabad,Yes
EMP20230155,Devansh Grover,36,Male,IT,Sales Associate,M.Com,103036,2/6/2019,6,4,3,47,Yes,5,3,Divorced,4,27,10,Kolkata,Yes
EMP20230156,Uthkarsh Swamy,33,Other,Admin,HR Executive,MBA,40949,7/25/2023,2,1,5,41,Yes,4,1,Married,4,22.6,25,Delhi,Yes
EMP20230157,Aarna Sagar,52,Male,Sales,Sales Associate,BA,34436,4/23/2016,9,5,4,11,No,2,3,Married,5,14.4,17,Chennai,No
EMP20230158,Zaina Soni,29,Female,Sales,Sales Associate,BA,87786,1/29/2019,6,2,4,2,Yes,5,4,Married,5,28,3,Chennai,No
EMP20230159,Yasmin Balakrishnan,36,Female,HR,Software Engineer,M.Com,86437,11/19/2021,4,4,5,57,Yes,5,1,Single,2,43.8,28,Mumbai,Yes
EMP20230160,Stuvan Choudhary,23,Male,HR,Accounts Officer,B.Tech,21892,1/10/2019,6,4,3,60,Yes,3,2,Single,0,43,24,Kolkata,No
EMP20230161,Jhanvi Barman,47,Female,Admin,Sales Associate,Diploma,16791,4/28/2023,2,2,2,9,No,1,2,Married,0,46.9,5,Kolkata,Yes
EMP20230162,Zain Vaidya,30,Male,HR,Office Assistant,Diploma,68208,2/23/2020,5,1,1,43,No,1,2,Single,0,48.1,25,Mumbai,Yes
EMP20230163,Gokul Raju,50,Other,Sales,Accounts Officer,MBA,69886,1/1/2019,6,6,3,59,Yes,1,3,Divorced,4,42.8,0,Chennai,No
EMP20230164,Saanvi Tripathi,38,Female,HR,Software Engineer,BA,68089,5/30/2023,2,0,2,2,Yes,2,3,Single,4,14.7,25,Mumbai,Yes
EMP20230165,Taran Gola,57,Female,Sales,Sales Associate,Diploma,17129,5/3/2019,6,6,3,34,No,5,4,Single,2,49.1,30,Mumbai,No
EMP20230166,Seher Ray,53,Other,HR,Accounts Officer,MBA,111869,12/20/2015,10,9,1,2,Yes,2,1,Single,3,27.1,1,Hyderabad,No
EMP20230167,Anahi Chadha,46,Female,HR,Software Engineer,B.Tech,71534,6/18/2020,5,4,2,38,Yes,4,1,Single,5,43.6,6,Chennai,Yes
